0089 netbios-ns
04CC florence
0001 tcpmux
0002 compressnet
0003 compressnet
0005 rje
0007 echo
0009 discard
000B systat
000D daytime
0011 qotd
0012 msp
0013 chargen
0014 ftp-data
0015 ftp
0016 ssh
0017 telnet
0018 priv-mail
0019 smtp
001B nsw-fe
001D msg-icp
001F msg-auth
0021 dsp
0023 priv-print
0025 time
0026 rap
0027 rlp
0029 graphics
002A name
002B nicname
002C mpm-flags
002D mpm
002E mpm-snd
002F ni-ftp
0030 auditd
0031 tacacs
0032 re-mail-ck
0033 la-maint
0034 xns-time
0035 domain
0036 xns-ch
0037 isi-gl
0038 xns-auth
0039 priv-term
003A xns-mail
003B priv-file
003D ni-mail
003E acas
003F whois++
0040 covia
0041 tacacs-ds
0042 sql*net
0043 bootps
0044 bootpc
0045 tftp
0046 gopher
0047 netrjs-1
0048 netrjs-2
0049 netrjs-3
004A netrjs-4
004B priv-dial
004C deos
004D priv-rje
004E vettcp
004F finger
0050 http
0051 hosts2-ns
0052 xfer
0053 mit-ml-dev
0054 ctf
0055 mit-ml-dev
0056 mfcobol
0057 link
0058 kerberos
0059 su-mit-tg
005A dnsix
005B mit-dov
005C npp
005D dcp
005E objcall
005F supdup
0060 dixie
0061 swift-rvf
0062 tacnews
0063 metagram
0065 hostname
0066 iso-tsap
0067 gppitnp
0068 acr-nema
0069 csnet-ns
006A 3com-tsmux
006B rtelnet
006C snagas
006D pop2
006E pop3
006F sunrpc
0070 mcidas
0071 auth
0072 audionews
0073 sftp
0074 ansanotify
0075 uucp-path
0076 sqlserv
0077 nntp
0078 cfdptkt
0079 erpc
007A smakynet
007B ntp
007C ansatrader
007D locus-map
007E nxedit
007F locus-con
0080 gss-xlicen
0081 pwdgen
0082 cisco-fna
0083 cisco-tna
0084 cisco-sys
0085 statsrv
0086 ingres-net
0087 epmap
0088 profile
008A netbios-dgm
008B netbios-ssn
008C emfis-data
008D emfis-cntl
008E bl-idm
008F imap
0090 uma
0091 uaac
0092 iso-tp0
0093 iso-ip
0094 jargon
0095 aed-512
0096 sql-net
0097 hems
0098 bftp
0099 sgmp
009A netsc-prod
009B netsc-dev
009C sqlsrv
009D knet-cmp
009E pcmail-srv
009F nss-routing
00A0 sgmp-traps
00A1 snmp
00A2 snmptrap
00A3 cmip-man
00A4 smip-agent
00A5 xns-courier
00A6 s-net
00A7 namp
00A8 rsvd
00A9 send
00AA print-srv
00AB multiplex
00AC cl/1
00AD xyplex-mux
00AE mailq
00AF vmnet
00B0 genrad-mux
00B1 xdmcp
00B2 nextstep
00B3 bgp
00B4 ris
00B5 unify
00B6 audit
00B7 ocbinder
00B8 ocserver
00B9 remote-kis
00BA kis
00BB aci
00BC mumps
00BD qft
00BE gacp
00BF prospero
00C0 osu-nms
00C1 srmp
00C2 irc
00C3 dn6-nlm-aud
00C4 dn6-smm-red
00C5 dls
00C6 dls-mon
00C7 smux
00C8 src
00C9 at-rtmp
00CA at-nbp
00CB at-3
00CC at-echo
00CD at-5
00CE at-zis
00CF at-7
00D0 at-8
00D1 qmtp
00D2 z39.50
00D3 914c/g
00D4 anet
00D5 ipx
00D6 vmpwscs
00D7 softpc
00D8 CAIlic
00D9 dbase
00DA mpp
00DB uarps
00DC imap3
00DD fln-spx
00DE rsh-spx
00DF cdc
00E0 masqdialer
00F2 direct
00F3 sur-meas
00F4 inbusiness
00F5 link
00F6 dsp3270
00F7 subntbcst_tftp
00F8 bhfhs
0100 rap
0101 set
0102 yak-chat
0103 esro-gen
0104 openport
0105 nsiiops
0106 arcisdms
0107 hdap
0108 bgmp
0109 x-bone-ctl
010A sst
010B td-service
010C td-replica
0118 http-mgmt
0119 personal-link
011A cableport-ax
011B rescap
011C corerjd
011D gtp-user
011E fxp-1
011F k-block
0134 novastorbakcup
0135 entrusttime
0136 bhmds
0137 asip-webadmin
0138 vslmp
0139 magenta-logic
013A opalis-robot
013B dpsi
013C decauth
013D zannet
013E pkix-timestamp
013F ptp-event
0140 ptp-general
0141 pip
0142 rtsps
014D texar
0158 pdap
0159 pawserv
015A zserv
015B fatserv
015C csi-sgwp
015D mftp
015E matip-type-a
015F bhoetty
0160 bhoedap4
0161 ndsauth
0162 bh611
0163 datex-asn
0164 cloanto-net-1
0165 bhevent
0166 shrinkwrap
0167 tenebris_nts
0168 scoi2odialog
0169 semantix
016A srssend
016B rsvp_tunnel
016C aurora-cmgr
016D dtk
016E odmr
016F mortgageware
0170 qbikgdp
0171 rpc2portmap
0172 codaauth2
0173 clearcase
0174 ulistproc
0175 legent-1
0176 legent-2
0177 hassle
0178 nip
0179 tnETOS
017A dsETOS
017B is99c
017C is99s
017D hp-collector
017E hp-managed-node
017F hp-alarm-mgr
0180 arns
0181 ibm-app
0182 asa
0183 aurp
0184 unidata-ldm
0185 ldap
0186 uis
0187 synotics-relay
0188 synotics-broker
0189 dis
018A embl-ndt
018B netcp
018C netware-ip
018D mptn
018E kryptolan
018F iso-tsap-c2
0190 work-sol
0191 ups
0192 genie
0193 decap
0194 nced
0195 ncld
0196 imsp
0197 timbuktu
0198 prm-sm
0199 prm-nm
019A decladebug
019B rmt
019C synoptics-trap
019D smsp
019E infoseek
019F bnet
01A0 silverplatter
01A1 onmux
01A2 hyper-g
01A3 ariel1
01A4 smpte
01A5 ariel2
01A6 ariel3
01A7 opc-job-start
01A8 opc-job-track
01A9 icad-el
01AA smartsdp
01AB svrloc
01AC ocs_cmu
01AD ocs_amu
01AE utmpsd
01AF utmpcd
01B0 iasd
01B1 nnsp
01B2 mobileip-agent
01B3 mobilip-mn
01B4 dna-cml
01B5 comscm
01B6 dsfgw
01B7 dasp
01B8 sgcp
01B9 decvms-sysmgt
01BA cvc_hostd
